content
Adult literacy
Arts & Craft
Driver license
Digital literacy
Employment literacy
Environment & Sustainability
ESOL
Exam prep
Family history
Finance & Budgeting
Foreign languages
Health & Wellbeing
Heritage
Information literacy
Makerspace
Music & Singing
NZ sign language
Parenting
Special needs
Waiata
Reading & Writing
Local history
Whakapapa/Māori research
Māori Land Court Trustees training
Te Reo Māori
Te Ao Māori world
Pasifika/Talanoa culture
Coding & robotic
Homework help
Literary
Book clubs/chats
Writing
Movie
Gaming (Board games)
Lego
Spirituality & Religion
STEM
New migrants
Waita
Storytime
Wriggle & Rhyme
Rhymetime
Kohanga reo
Environment & Sustainability 
